"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_auc"
"ENSG00000106780.9",33.1940106351975,0.553750698294101,0.142033563929026,3.89873127855055,9.66980139638337e-05,0.000853171601741275,0.746687211093991
"ENSG00000119402.18",51.7040055668637,0.29161435889713,0.0901840476864097,3.23354702276326,0.0012226320687372,0.00643565597580971,0.591063174114022
"ENSG00000243738.3",1.24194346890365,-0.915278819421903,0.376845639727344,-2.42878972962013,0.0151493155093227,0.0443122979181195,0.656702619414484
"ENSG00000148180.21",156.424033460669,0.562756613902067,0.153266718488078,3.67174700061083,0.000240898099983496,0.00176870276325516,0.701386748844376
"ENSG00000235865.2",0.31700029838036,1.44291691861942,0.540620483273546,2.6690015699781,0.00760770946453882,0.0264803309227008,0.520801232665639
"ENSG00000227355.3",7.09250605522539,-0.761633880917723,0.255264987948421,-2.98369896725366,0.00284786808007718,0.0125252615609912,0.639137134052388
"ENSG00000212447.1",1.52435799181194,2.30886199768925,0.733152855958867,3.14922321985578,0.00163705098942705,0.00812998273998086,0.506779661016949
"ENSG00000171448.9",3.0813893089354,0.524974732532042,0.21197741454318,2.47655974889299,0.0132655419441753,0.0401060530233714,0.618027734976888
"ENSG00000188394.8",0.452773856725753,1.84340455241279,0.725436449011615,2.54109723177595,0.0110505183746975,0.0349679323285389,0.554391371340524
"ENSG00000165209.19",24.3138013539098,-0.423536159672754,0.119823535073101,-3.53466586855717,0.000408291091237053,0.00268724920833799,0.655161787365177
"ENSG00000136930.13",23.2404251317351,0.299267345313574,0.104809318784797,2.85535054309487,0.00429893510230662,0.017197054063956,0.621879815100154
"ENSG00000180264.11",0.540021306211582,2.98191911954279,0.590349901181588,5.0511046306173,4.39262361707954e-07,1.03610514903042e-05,0.697072419106317
"ENSG00000136931.10",4.56417149959293,0.8939681069526,0.287011251499894,3.11474934268537,0.00184101282756236,0.00890310266923491,0.593682588597843
"ENSG00000148200.17",2.63592961356658,0.733647683751324,0.249730138589531,2.93776188927354,0.00330590822638562,0.014078609170987,0.604160246533128
"ENSG00000185585.20",2.24152952488714,1.18335007554019,0.351701811534939,3.36464026265794,0.000766435167072412,0.00446723186649374,0.577195685670262
"ENSG00000136942.15",401.533921676789,-0.438553130816249,0.0906236103526297,-4.83928116646175,1.30309585269964e-06,2.49946194984483e-05,0.753775038520801
"ENSG00000119487.17",53.5256579673272,-0.219880904190666,0.0639068616719273,-3.44064625359713,0.000580326706488015,0.00357592700147546,0.714329738058552
"ENSG00000136944.19",0.467769040610954,1.82193587039387,0.63833676026511,2.85419230695282,0.00431464047183558,0.017234741873279,0.592295839753467
"ENSG00000136828.19",2.415289505443,0.610607896441925,0.245189833634134,2.49034752946999,0.0127618239364895,0.0389292874641929,0.578428351309707
"ENSG00000136859.10",1.00569152159249,1.43443125490276,0.505650564914743,2.8368034259877,0.00455676574712382,0.0179205552342522,0.598459167950693
"ENSG00000136895.19",2.90842952446916,1.49157690257658,0.295769589462876,5.04303672762747,4.58201260683321e-07,1.07017175800274e-05,0.668875192604006
